idCiudad,Abr,Nombre,Capital,tot_mun
1,Ags,AGUASCALIENTES,AGUASCALIENTES,11
2,BC,BAJA CALIFORNIA,MEXICALI,5
3,BCS,BAJA CALIFORNIA SUR,LA PAZ,5
4,Camp,CAMPECHE,CAMPECHE,11
5,Coah,COAHUILA,SALTILLO,38
6,Col,COLIMA,COLIMA,10
7,Chis,CHIAPAS,TUXTLA GUTIERREZ,118
8,Chih,CHIHUAHUA,CHIHUAHUA,67
9,DF,DISTRITO FEDERAL,,16
10,Dgo,DURANGO,DURANGO,39
11,Gto,GUANAJUATO,GUANAJUATO,46
12,Gro,GUERRERO,CHILPANCINGO.,81
13,Hgo,HIDALGO,PACHUCA,84
14,Jal,JALISCO,GUADALAJARA,125
15,Mex,MEXICO,TOLUCA,125
16,Mich,MICHOACAN,MORELIA,113
17,Mor,MORELOS,CUERNAVACA,33
18,Nay,NAYARIT,TEPIC,20
19,NL,NUEVO LEON,MONTERREY,51
20,Oax,OAXACA,OAXACA,570
21,Pue,PUEBLA,PUEBLA,217
22,Qro,QUERETARO,QUERETARO,18
23,QRoo,QUINTANA ROO,CHETUMAL.,8
24,SLP,SAN LUIS POTOSI,SAN LUIS POTOSI,58
25,Sin,SINALOA,CULIACAN,18
26,Son,SONORA,HERMOSILLO,72
27,Tab,TABASCO,VILLAHERMOSA.,17
28,Tamps,TAMAULIPAS,CIUDAD VICTORIA.,43
29,Tlax,TLAXCALA,TLAXCALA,60
30,Ver,VERACRUZ,XALAPA,212
31,Yuc,YUCATAN,MERIDA,106
32,Zac,ZACATECAS,ZACATECAS,58
